stimulus_index,stimulus,input_time_ms,input_index,key_symbol,transcribed_string
0,hyohcy,0,0,h,hyohcy
0,hyohcy,217,1,y,hyohcy
0,hyohcy,2651,2,o,hyohcy
0,hyohcy,3026,3,h,hyohcy
0,hyohcy,3276,4,c,hyohcy
0,hyohcy,3526,5,y,hyohcy
1,odkfey,0,0,o,odkfey
1,odkfey,218,1,d,odkfey
1,odkfey,499,2,k,odkfey
1,odkfey,1123,3,f,odkfey
1,odkfey,1404,4,e,odkfey
1,odkfey,1746,5,y,odkfey
2,odcdpu,0,0,o,odcdpu
2,odcdpu,498,1,d,odcdpu
2,odcdpu,779,2,c,odcdpu
2,odcdpu,998,3,d,odcdpu
2,odcdpu,1372,4,p,odcdpu
2,odcdpu,1653,5,u,odcdpu
3,qwcbcr,0,0,q,qwcbcr
3,qwcbcr,344,1,w,qwcbcr
3,qwcbcr,1029,2,c,qwcbcr
3,qwcbcr,1279,3,b,qwcbcr
3,qwcbcr,1685,4,c,qwcbcr
3,qwcbcr,2340,5,r,qwcbcr
4,nwmxxf,0,0,n,nwmxxf
4,nwmxxf,280,1,w,nwmxxf
4,nwmxxf,842,2,m,nwmxxf
4,nwmxxf,1559,3,x,nwmxxf
4,nwmxxf,1809,4,x,nwmxxf
4,nwmxxf,2121,5,f,nwmxxf
5,khpzgp,0,0,k,khpzgp
5,khpzgp,344,1,h,khpzgp
5,khpzgp,874,2,p,khpzgp
5,khpzgp,1809,3,z,khpzgp
5,khpzgp,2278,4,g,khpzgp
5,khpzgp,2996,5,p,khpzgp
6,xlndns,0,0,x,xlndns
6,xlndns,312,1,l,xlndns
6,xlndns,623,2,n,xlndns
6,xlndns,904,3,d,xlndns
6,xlndns,1559,4,n,xlndns
6,xlndns,1715,5,s,xlndns
7,oahpnh,0,0,o,oahpnh
7,oahpnh,529,1,a,oahpnh
7,oahpnh,717,2,h,oahpnh
7,oahpnh,1591,3,p,oahpnh
7,oahpnh,2027,4,n,oahpnh
7,oahpnh,2214,5,h,oahpnh
8,jflurm,0,0,j,jflurm
8,jflurm,499,1,f,jflurm
8,jflurm,842,2,l,jflurm
8,jflurm,1123,3,u,jflurm
8,jflurm,1311,4,r,jflurm
8,jflurm,1559,5,m,jflurm
9,varawz,0,0,v,varawz
9,varawz,187,1,a,varawz
9,varawz,342,2,r,varawz
9,varawz,560,3,a,varawz
9,varawz,1154,4,q,varawz
9,varawz,1995,5,BackSpace,varawz
9,varawz,2370,6,w,varawz
9,varawz,2744,7,z,varawz
10,kmrynj,0,0,k,kmrynj
10,kmrynj,219,1,m,kmrynj
10,kmrynj,468,2,r,kmrynj
10,kmrynj,968,3,y,kmrynj
10,kmrynj,1217,4,n,kmrynj
10,kmrynj,1404,5,j,kmrynj
11,jkgaqe,0,0,j,jkgaqe
11,jkgaqe,217,1,k,jkgaqe
