stimulus_index,stimulus,input_time_ms,input_index,key_symbol,transcribed_string
0,Lähettäisitko minulle sähköpostia?,0,0,Shift_L,Lähettäisitko minulle sähköpostia?
0,Lähettäisitko minulle sähköpostia?,749,1,L,Lähettäisitko minulle sähköpostia?
0,Lähettäisitko minulle sähköpostia?,935,2,adiaeresis,Lähettäisitko minulle sähköpostia?
0,Lähettäisitko minulle sähköpostia?,1185,3,h,Lähettäisitko minulle sähköpostia?
0,Lähettäisitko minulle sähköpostia?,1310,4,e,Lähettäisitko minulle sähköpostia?
0,Lähettäisitko minulle sähköpostia?,1871,5,t,Lähettäisitko minulle sähköpostia?
0,Lähettäisitko minulle sähköpostia?,1996,6,t,Lähettäisitko minulle sähköpostia?
0,Lähettäisitko minulle sähköpostia?,2059,7,adiaeresis,Lähettäisitko minulle sähköpostia?
0,Lähettäisitko minulle sähköpostia?,2246,8,i,Lähettäisitko minulle sähköpostia?
0,Lähettäisitko minulle sähköpostia?,2371,9,s,Lähettäisitko minulle sähköpostia?
0,Lähettäisitko minulle sähköpostia?,2464,10,i,Lähettäisitko minulle sähköpostia?
0,Lähettäisitko minulle sähköpostia?,2559,11,t,Lähettäisitko minulle sähköpostia?
0,Lähettäisitko minulle sähköpostia?,2621,12,k,Lähettäisitko minulle sähköpostia?
0,Lähettäisitko minulle sähköpostia?,2714,13,o,Lähettäisitko minulle sähköpostia?
0,Lähettäisitko minulle sähköpostia?,2776,14,space,Lähettäisitko minulle sähköpostia?
0,Lähettäisitko minulle sähköpostia?,2901,15,m,Lähettäisitko minulle sähköpostia?
0,Lähettäisitko minulle sähköpostia?,3088,16,i,Lähettäisitko minulle sähköpostia?
0,Lähettäisitko minulle sähköpostia?,3151,17,n,Lähettäisitko minulle sähköpostia?
0,Lähettäisitko minulle sähköpostia?,3244,18,u,Lähettäisitko minulle sähköpostia?
0,Lähettäisitko minulle sähköpostia?,3494,19,l,Lähettäisitko minulle sähköpostia?
0,Lähettäisitko minulle sähköpostia?,3588,20,l,Lähettäisitko minulle sähköpostia?
0,Lähettäisitko minulle sähköpostia?,3743,21,e,Lähettäisitko minulle sähköpostia?
0,Lähettäisitko minulle sähköpostia?,3838,22,space,Lähettäisitko minulle sähköpostia?
0,Lähettäisitko minulle sähköpostia?,3963,23,s,Lähettäisitko minulle sähköpostia?
0,Lähettäisitko minulle sähköpostia?,4055,24,adiaeresis,Lähettäisitko minulle sähköpostia?
0,Lähettäisitko minulle sähköpostia?,4243,25,h,Lähettäisitko minulle sähköpostia?
0,Lähettäisitko minulle sähköpostia?,4493,26,k,Lähettäisitko minulle sähköpostia?
0,Lähettäisitko minulle sähköpostia?,4680,27,odiaeresis,Lähettäisitko minulle sähköpostia?
0,Lähettäisitko minulle sähköpostia?,4898,28,p,Lähettäisitko minulle sähköpostia?
0,Lähettäisitko minulle sähköpostia?,5023,29,o,Lähettäisitko minulle sähköpostia?
0,Lähettäisitko minulle sähköpostia?,5180,30,s,Lähettäisitko minulle sähköpostia?
0,Lähettäisitko minulle sähköpostia?,5241,31,t,Lähettäisitko minulle sähköpostia?
0,Lähettäisitko minulle sähköpostia?,5428,32,i,Lähettäisitko minulle sähköpostia?
0,Lähettäisitko minulle sähköpostia?,5648,33,a,Lähettäisitko minulle sähköpostia?
0,Lähettäisitko minulle sähköpostia?,5897,34,Shift_R,Lähettäisitko minulle sähköpostia?
0,Lähettäisitko minulle sähköpostia?,6022,35,question,Lähettäisitko minulle sähköpostia?
1,Kiitos huolenpidostasi.,0,0,Shift_L,Kiitos huolenpidostasi.
1,Kiitos huolenpidostasi.,187,1,K,Kiitos huolenpidostasi.
1,Kiitos huolenpidostasi.,374,2,i,Kiitos huolenpidostasi.
1,Kiitos huolenpidostasi.,499,3,i,Kiitos huolenpidostasi.
1,Kiitos huolenpidostasi.,624,4,t,Kiitos huolenpidostasi.
1,Kiitos huolenpidostasi.,718,5,o,Kiitos huolenpidostasi.
1,Kiitos huolenpidostasi.,842,6,s,Kiitos huolenpidostasi.
1,Kiitos huolenpidostasi.,904,7,space,Kiitos huolenpidostasi.
1,Kiitos huolenpidostasi.,1061,8,h,Kiitos huolenpidostasi.
1,Kiitos huolenpidostasi.,1154,9,u,Kiitos huolenpidostasi.
1,Kiitos huolenpidostasi.,1342,10,o,Kiitos huolenpidostasi.
1,Kiitos huolenpidostasi.,1531,11,l,Kiitos huolenpidostasi.
1,Kiitos huolenpidostasi.,1624,12,e,Kiitos huolenpidostasi.
1,Kiitos huolenpidostasi.,1718,13,n,Kiitos huolenpidostasi.
1,Kiitos huolenpidostasi.,1874,14,p,Kiitos huolenpidostasi.
1,Kiitos huolenpidostasi.,2029,15,i,Kiitos huolenpidostasi.
1,Kiitos huolenpidostasi.,2186,16,d,Kiitos huolenpidostasi.
1,Kiitos huolenpidostasi.,2311,17,o,Kiitos huolenpidostasi.
1,Kiitos huolenpidostasi.,2404,18,s,Kiitos huolenpidostasi.
1,Kiitos huolenpidostasi.,2498,19,t,Kiitos huolenpidostasi.
1,Kiitos huolenpidostasi.,2623,20,a,Kiitos huolenpidostasi.
1,Kiitos huolenpidostasi.,2748,21,s,Kiitos huolenpidostasi.
1,Kiitos huolenpidostasi.,2871,22,i,Kiitos huolenpidostasi.
1,Kiitos huolenpidostasi.,3121,23,period,Kiitos huolenpidostasi.
2,Oletko paikalla tänään?,0,0,Shift_L,Oletko paikalla tänään?
2,Oletko paikalla tänään?,155,1,O,Oletko paikalla tänään?
2,Oletko paikalla tänään?,343,2,l,Oletko paikalla tänään?
2,Oletko paikalla tänään?,467,3,e,Oletko paikalla tänään?
2,Oletko paikalla tänään?,530,4,t,Oletko paikalla tänään?
2,Oletko paikalla tänään?,592,5,k,Oletko paikalla tänään?
2,Oletko paikalla tänään?,687,6,o,Oletko paikalla tänään?
2,Oletko paikalla tänään?,749,7,space,Oletko paikalla tänään?
2,Oletko paikalla tänään?,874,8,p,Oletko paikalla tänään?
2,Oletko paikalla tänään?,1029,9,a,Oletko paikalla tänään?
2,Oletko paikalla tänään?,1435,10,i,Oletko paikalla tänään?
2,Oletko paikalla tänään?,1592,11,k,Oletko paikalla tänään?
2,Oletko paikalla tänään?,1684,12,a,Oletko paikalla tänään?
2,Oletko paikalla tänään?,1747,13,l,Oletko paikalla tänään?
2,Oletko paikalla tänään?,1871,14,l,Oletko paikalla tänään?
2,Oletko paikalla tänään?,1934,15,a,Oletko paikalla tänään?
2,Oletko paikalla tänään?,2059,16,space,Oletko paikalla tänään?
2,Oletko paikalla tänään?,2152,17,t,Oletko paikalla tänään?
2,Oletko paikalla tänään?,2216,18,adiaeresis,Oletko paikalla tänään?
2,Oletko paikalla tänään?,2402,19,n,Oletko paikalla tänään?
2,Oletko paikalla tänään?,2589,20,adiaeresis,Oletko paikalla tänään?
2,Oletko paikalla tänään?,2714,21,adiaeresis,Oletko paikalla tänään?
2,Oletko paikalla tänään?,2901,22,n,Oletko paikalla tänään?
2,Oletko paikalla tänään?,3183,23,Shift_R,Oletko paikalla tänään?
2,Oletko paikalla tänään?,3308,24,question,Oletko paikalla tänään?
