stimulus_index,stimulus,input_time_ms,input_index,key_symbol,transcribed_string
0,uogkww,0,0,u,uogkww
0,uogkww,92,1,o,uogkww
0,uogkww,437,2,g,uogkww
0,uogkww,1028,3,k,uogkww
0,uogkww,1434,4,w,uogkww
0,uogkww,1590,5,w,uogkww
1,pshegog,0,0,p,pshegog
1,pshegog,436,1,s,pshegog
1,pshegog,967,2,h,pshegog
1,pshegog,1123,3,e,pshegog
1,pshegog,1466,4,g,pshegog
1,pshegog,1621,5,o,pshegog
1,pshegog,1746,6,g,pshegog
2,oxbcqh,0,0,o,oxbcqh
2,oxbcqh,187,1,x,oxbcqh
2,oxbcqh,998,2,b,oxbcqh
2,oxbcqh,1467,3,c,oxbcqh
2,oxbcqh,1934,4,q,oxbcqh
2,oxbcqh,2090,5,h,oxbcqh
3,ohrswt,0,0,o,ohrswt
3,ohrswt,280,1,h,ohrswt
3,ohrswt,405,2,r,ohrswt
3,ohrswt,779,3,s,ohrswt
3,ohrswt,1029,4,w,ohrswt
3,ohrswt,1342,5,t,ohrswt
4,uchedt,0,0,u,uchedt
4,uchedt,155,1,c,uchedt
4,uchedt,280,2,h,uchedt
4,uchedt,686,3,e,uchedt
4,uchedt,842,4,d,uchedt
4,uchedt,997,5,t,uchedt
5,nwmxxf,0,0,n,nwmxxf
5,nwmxxf,93,1,w,nwmxxf
5,nwmxxf,1247,2,m,nwmxxf
5,nwmxxf,1528,3,x,nwmxxf
5,nwmxxf,1653,4,x,nwmxxf
5,nwmxxf,2901,5,f,nwmxxf
6,zjjrwa,0,0,z,zjjrwa
6,zjjrwa,219,1,j,zjjrwa
6,zjjrwa,344,2,j,zjjrwa
6,zjjrwa,779,3,r,zjjrwa
6,zjjrwa,1092,4,w,zjjrwa
6,zjjrwa,1342,5,a,zjjrwa
7,prtowz,0,0,p,prtowz
7,prtowz,125,1,r,prtowz
7,prtowz,312,2,t,prtowz
7,prtowz,437,3,o,prtowz
7,prtowz,749,4,w,prtowz
7,prtowz,1247,5,x,prtowz
7,prtowz,1529,6,BackSpace,prtowz
7,prtowz,1654,7,z,prtowz
8,vrutaa,0,0,v,vrutaa
8,vrutaa,312,1,r,vrutaa
8,vrutaa,467,2,u,vrutaa
8,vrutaa,592,3,t,vrutaa
