stimulus_index,stimulus,input_time_ms,input_index,key_symbol,transcribed_string
0,Ei ollut edes lähellä.,0,0,Shift_L,Ei ollut edes lähellä.
0,Ei ollut edes lähellä.,437,1,E,Ei ollut edes lähellä.
0,Ei ollut edes lähellä.,624,2,i,Ei ollut edes lähellä.
0,Ei ollut edes lähellä.,717,3,space,Ei ollut edes lähellä.
0,Ei ollut edes lähellä.,967,4,o,Ei ollut edes lähellä.
0,Ei ollut edes lähellä.,1154,5,l,Ei ollut edes lähellä.
0,Ei ollut edes lähellä.,1309,6,l,Ei ollut edes lähellä.
0,Ei ollut edes lähellä.,1591,7,u,Ei ollut edes lähellä.
0,Ei ollut edes lähellä.,1684,8,t,Ei ollut edes lähellä.
0,Ei ollut edes lähellä.,1778,9,space,Ei ollut edes lähellä.
0,Ei ollut edes lähellä.,2028,10,e,Ei ollut edes lähellä.
0,Ei ollut edes lähellä.,2153,11,d,Ei ollut edes lähellä.
0,Ei ollut edes lähellä.,2340,12,e,Ei ollut edes lähellä.
0,Ei ollut edes lähellä.,2588,13,s,Ei ollut edes lähellä.
0,Ei ollut edes lähellä.,2683,14,space,Ei ollut edes lähellä.
0,Ei ollut edes lähellä.,2963,15,l,Ei ollut edes lähellä.
0,Ei ollut edes lähellä.,3056,16,adiaeresis,Ei ollut edes lähellä.
0,Ei ollut edes lähellä.,3306,17,h,Ei ollut edes lähellä.
0,Ei ollut edes lähellä.,3650,18,e,Ei ollut edes lähellä.
0,Ei ollut edes lähellä.,3743,19,l,Ei ollut edes lähellä.
0,Ei ollut edes lähellä.,3868,20,l,Ei ollut edes lähellä.
0,Ei ollut edes lähellä.,3962,21,adiaeresis,Ei ollut edes lähellä.
0,Ei ollut edes lähellä.,4523,22,period,Ei ollut edes lähellä.
1,Lähettäisitkö minulle sähköpostia?,0,0,Shift_L,Lähettäisitkö minulle sähköpostia?
1,Lähettäisitkö minulle sähköpostia?,187,1,L,Lähettäisitkö minulle sähköpostia?
1,Lähettäisitkö minulle sähköpostia?,1279,2,adiaeresis,Lähettäisitkö minulle sähköpostia?
1,Lähettäisitkö minulle sähköpostia?,1809,3,h,Lähettäisitkö minulle sähköpostia?
1,Lähettäisitkö minulle sähköpostia?,1996,4,e,Lähettäisitkö minulle sähköpostia?
1,Lähettäisitkö minulle sähköpostia?,2278,5,t,Lähettäisitkö minulle sähköpostia?
1,Lähettäisitkö minulle sähköpostia?,2401,6,t,Lähettäisitkö minulle sähköpostia?
1,Lähettäisitkö minulle sähköpostia?,2526,7,adiaeresis,Lähettäisitkö minulle sähköpostia?
1,Lähettäisitkö minulle sähköpostia?,2808,8,i,Lähettäisitkö minulle sähköpostia?
1,Lähettäisitkö minulle sähköpostia?,2933,9,s,Lähettäisitkö minulle sähköpostia?
1,Lähettäisitkö minulle sähköpostia?,3026,10,i,Lähettäisitkö minulle sähköpostia?
1,Lähettäisitkö minulle sähköpostia?,3276,11,t,Lähettäisitkö minulle sähköpostia?
1,Lähettäisitkö minulle sähköpostia?,3401,12,k,Lähettäisitkö minulle sähköpostia?
1,Lähettäisitkö minulle sähköpostia?,3493,13,odiaeresis,Lähettäisitkö minulle sähköpostia?
1,Lähettäisitkö minulle sähköpostia?,3556,14,space,Lähettäisitkö minulle sähköpostia?
1,Lähettäisitkö minulle sähköpostia?,3743,15,m,Lähettäisitkö minulle sähköpostia?
1,Lähettäisitkö minulle sähköpostia?,3930,16,i,Lähettäisitkö minulle sähköpostia?
1,Lähettäisitkö minulle sähköpostia?,4055,17,n,Lähettäisitkö minulle sähköpostia?
1,Lähettäisitkö minulle sähköpostia?,4150,18,u,Lähettäisitkö minulle sähköpostia?
1,Lähettäisitkö minulle sähköpostia?,4585,19,l,Lähettäisitkö minulle sähköpostia?
1,Lähettäisitkö minulle sähköpostia?,4742,20,l,Lähettäisitkö minulle sähköpostia?
1,Lähettäisitkö minulle sähköpostia?,4867,21,e,Lähettäisitkö minulle sähköpostia?
1,Lähettäisitkö minulle sähköpostia?,4960,22,space,Lähettäisitkö minulle sähköpostia?
1,Lähettäisitkö minulle sähköpostia?,5460,23,s,Lähettäisitkö minulle sähköpostia?
1,Lähettäisitkö minulle sähköpostia?,5615,24,adiaeresis,Lähettäisitkö minulle sähköpostia?
1,Lähettäisitkö minulle sähköpostia?,5865,25,h,Lähettäisitkö minulle sähköpostia?
1,Lähettäisitkö minulle sähköpostia?,5959,26,k,Lähettäisitkö minulle sähköpostia?
1,Lähettäisitkö minulle sähköpostia?,6052,27,odiaeresis,Lähettäisitkö minulle sähköpostia?
1,Lähettäisitkö minulle sähköpostia?,6302,28,p,Lähettäisitkö minulle sähköpostia?
1,Lähettäisitkö minulle sähköpostia?,6427,29,o,Lähettäisitkö minulle sähköpostia?
1,Lähettäisitkö minulle sähköpostia?,6520,30,s,Lähettäisitkö minulle sähköpostia?
1,Lähettäisitkö minulle sähköpostia?,6802,31,t,Lähettäisitkö minulle sähköpostia?
1,Lähettäisitkö minulle sähköpostia?,6957,32,i,Lähettäisitkö minulle sähköpostia?
1,Lähettäisitkö minulle sähköpostia?,7114,33,a,Lähettäisitkö minulle sähköpostia?
1,Lähettäisitkö minulle sähköpostia?,7769,34,Shift_L,Lähettäisitkö minulle sähköpostia?
1,Lähettäisitkö minulle sähköpostia?,7894,35,question,Lähettäisitkö minulle sähköpostia?
2,Voimme juoda viinä ja jakaa kuulumisia.,0,0,Shift_L,Voimme juoda viinä ja jakaa kuulumisia.
2,Voimme juoda viinä ja jakaa kuulumisia.,155,1,V,Voimme juoda viinä ja jakaa kuulumisia.
2,Voimme juoda viinä ja jakaa kuulumisia.,467,2,o,Voimme juoda viinä ja jakaa kuulumisia.
2,Voimme juoda viinä ja jakaa kuulumisia.,562,3,i,Voimme juoda viinä ja jakaa kuulumisia.
2,Voimme juoda viinä ja jakaa kuulumisia.,904,4,m,Voimme juoda viinä ja jakaa kuulumisia.
2,Voimme juoda viinä ja jakaa kuulumisia.,1060,5,m,Voimme juoda viinä ja jakaa kuulumisia.
2,Voimme juoda viinä ja jakaa kuulumisia.,1185,6,e,Voimme juoda viinä ja jakaa kuulumisia.
2,Voimme juoda viinä ja jakaa kuulumisia.,1279,7,space,Voimme juoda viinä ja jakaa kuulumisia.
2,Voimme juoda viinä ja jakaa kuulumisia.,1592,8,j,Voimme juoda viinä ja jakaa kuulumisia.
2,Voimme juoda viinä ja jakaa kuulumisia.,1809,9,u,Voimme juoda viinä ja jakaa kuulumisia.
2,Voimme juoda viinä ja jakaa kuulumisia.,1904,10,o,Voimme juoda viinä ja jakaa kuulumisia.
