stimulus_index,stimulus,input_time_ms,input_index,key_symbol,transcribed_string
0,oxbcqh,0,0,o,oxbcqh
0,oxbcqh,155,1,x,oxbcqh
0,oxbcqh,435,2,b,oxbcqh
0,oxbcqh,2214,3,c,oxbcqh
0,oxbcqh,3649,4,q,oxbcqh
0,oxbcqh,4243,5,h,oxbcqh
1,oahpnh,0,0,o,oahpnh
1,oahpnh,155,1,a,oahpnh
1,oahpnh,373,2,h,oahpnh
1,oahpnh,1590,3,o,oahpnh
1,oahpnh,2121,4,BackSpace,oahpnh
1,oahpnh,2339,5,p,oahpnh
1,oahpnh,3056,6,n,oahpnh
1,oahpnh,3244,7,h,oahpnh
2,psdrwk,0,0,p,psdrwk
2,psdrwk,93,1,s,psdrwk
2,psdrwk,997,2,d,psdrwk
2,psdrwk,2745,3,r,psdrwk
2,psdrwk,3119,4,w,psdrwk
2,psdrwk,3369,5,k,psdrwk
3,yrchgp,0,0,u,yrchgp
3,yrchgp,468,1,BackSpace,yrchgp
3,yrchgp,749,2,y,yrchgp
3,yrchgp,874,3,r,yrchgp
3,yrchgp,1529,4,c,yrchgp
3,yrchgp,1966,5,h,yrchgp
3,yrchgp,2995,6,g,yrchgp
3,yrchgp,3370,7,p,yrchgp
4,1ctddy,0,0,1,1ctddy
4,1ctddy,872,1,c,1ctddy
4,1ctddy,1092,2,t,1ctddy
4,1ctddy,1964,3,d,1ctddy
4,1ctddy,2151,4,d,1ctddy
4,1ctddy,2371,5,y,1ctddy
5,zjjrwa,0,0,z,zjjrwa
5,zjjrwa,811,1,j,zjjrwa
5,zjjrwa,997,2,j,zjjrwa
5,zjjrwa,1653,3,r,zjjrwa
5,zjjrwa,1839,4,w,zjjrwa
5,zjjrwa,2089,5,a,zjjrwa
6,kmrynj,0,0,k,kmrynj
6,kmrynj,404,1,m,kmrynj
6,kmrynj,1684,2,r,kmrynj
6,kmrynj,2371,3,y,kmrynj
6,kmrynj,2838,4,n,kmrynj
6,kmrynj,3431,5,j,kmrynj
7,vunbgd,0,0,v,vunbgd
7,vunbgd,156,1,u,vunbgd
7,vunbgd,467,2,n,vunbgd
7,vunbgd,1996,3,b,vunbgd
7,vunbgd,2713,4,g,vunbgd
7,vunbgd,3588,5,d,vunbgd
8,bsrpqj,0,0,b,bsrpqj
8,bsrpqj,405,1,s,bsrpqj
8,bsrpqj,967,2,r,bsrpqj
8,bsrpqj,2089,3,p,bsrpqj
8,bsrpqj,2620,4,q,bsrpqj
8,bsrpqj,3493,5,j,bsrpqj
9,yadgnv,0,0,y,yadgnv
9,yadgnv,187,1,a,yadgnv
9,yadgnv,779,2,d,yadgnv
9,yadgnv,2526,3,g,yadgnv
9,yadgnv,2995,4,n,yadgnv
9,yadgnv,3555,5,v,yadgnv
10,dfzoua,0,0,d,dfzoua
10,dfzoua,279,1,f,dfzoua
10,dfzoua,1122,2,z,dfzoua
10,dfzoua,1434,3,o,dfzoua
10,dfzoua,1621,4,u,dfzoua
10,dfzoua,1777,5,a,dfzoua
11,ophxwt,0,0,o,ophxwt
11,ophxwt,343,1,p,ophxwt
11,ophxwt,1029,2,h,ophxwt
11,ophxwt,1996,3,x,ophxwt
11,ophxwt,2621,4,w,ophxwt
11,ophxwt,2870,5,t,ophxwt
12,ohrswt,0,0,o,ohrswt
12,ohrswt,281,1,h,ohrswt
12,ohrswt,406,2,r,ohrswt
12,ohrswt,1654,3,s,ohrswt
12,ohrswt,1934,4,w,ohrswt
12,ohrswt,2153,5,t,ohrswt
13,qjrpgt,0,0,q,qjrpgt
13,qjrpgt,811,1,j,qjrpgt
13,qjrpgt,1778,2,r,qjrpgt
13,qjrpgt,2620,3,p,qjrpgt
13,qjrpgt,2776,4,g,qjrpgt
13,qjrpgt,2963,5,t,qjrpgt
14,dawuva,0,0,d,dawuva
14,dawuva,62,1,a,dawuva
14,dawuva,1122,2,w,dawuva
14,dawuva,1404,3,u,dawuva
14,dawuva,1529,4,a,dawuva
14,dawuva,2276,5,BackSpace,dawuva
14,dawuva,2651,6,v,dawuva
14,dawuva,2776,7,a,dawuva
15,blpsdt,0,0,b,blpsdt
15,blpsdt,967,1,l,blpsdt
15,blpsdt,2153,2,p,blpsdt
15,blpsdt,2276,3,s,blpsdt
15,blpsdt,3151,4,d,blpsdt
15,blpsdt,3401,5,t,blpsdt
16,awnjvd,0,0,a,awnjvd
16,awnjvd,749,1,w,awnjvd
16,awnjvd,935,2,n,awnjvd
16,awnjvd,1996,3,j,awnjvd
16,awnjvd,2184,4,v,awnjvd
16,awnjvd,2309,5,d,awnjvd
17,cxwxyz,0,0,c,cxwxyz
17,cxwxyz,904,1,x,cxwxyz
17,cxwxyz,2870,2,w,cxwxyz
17,cxwxyz,4648,3,x,cxwxyz
17,cxwxyz,5678,4,y,cxwxyz
17,cxwxyz,6021,5,z,cxwxyz
18,odcdpu,0,0,o,odcdpu
18,odcdpu,342,1,d,odcdpu
18,odcdpu,1279,2,c,odcdpu
18,odcdpu,1559,3,d,odcdpu
18,odcdpu,2401,4,p,odcdpu
18,odcdpu,2621,5,u,odcdpu
19,vrutaa,0,0,v,vrutaa
19,vrutaa,467,1,r,vrutaa
19,vrutaa,967,2,u,vrutaa
19,vrutaa,1684,3,t,vrutaa
19,vrutaa,1902,4,a,vrutaa
19,vrutaa,2027,5,a,vrutaa
20,weqppe,0,0,w,weqppe
20,weqppe,249,1,e,weqppe
20,weqppe,998,2,q,weqppe
20,weqppe,1716,3,p,weqppe
20,weqppe,2121,4,p,weqppe
20,weqppe,2276,5,e,weqppe
21,jdlwbu,0,0,j,jdlwbu
21,jdlwbu,810,1,d,jdlwbu
21,jdlwbu,1529,2,l,jdlwbu
21,jdlwbu,2277,3,w,jdlwbu
21,jdlwbu,2746,4,b,jdlwbu
21,jdlwbu,3119,5,u,jdlwbu
22,uchedt,0,0,u,uchedt
22,uchedt,312,1,c,uchedt
22,uchedt,873,2,h,uchedt
22,uchedt,1903,3,e,uchedt
22,uchedt,1996,4,d,uchedt
22,uchedt,2246,5,t,uchedt
23,zydfzz,0,0,z,zydfzz
23,zydfzz,312,1,y,zydfzz
23,zydfzz,1309,2,d,zydfzz
23,zydfzz,2214,3,f,zydfzz
23,zydfzz,3244,4,z,zydfzz
23,zydfzz,3493,5,z,zydfzz
24,pshegog,0,0,p,pshegog
24,pshegog,312,1,s,pshegog
24,pshegog,562,2,h,pshegog
24,pshegog,874,3,e,pshegog
24,pshegog,1871,4,g,pshegog
24,pshegog,2121,5,o,pshegog
24,pshegog,2216,6,g,pshegog
25,khpzgp,0,0,k,khpzgp
25,khpzgp,250,1,h,khpzgp
25,khpzgp,624,2,p,khpzgp
25,khpzgp,1809,3,z,khpzgp
25,khpzgp,3120,4,g,khpzgp
25,khpzgp,3868,5,p,khpzgp
26,gvjbhj,0,0,g,gvjbhj
26,gvjbhj,342,1,v,gvjbhj
26,gvjbhj,1309,2,j,gvjbhj
26,gvjbhj,1996,3,b,gvjbhj
26,gvjbhj,2838,4,h,gvjbhj
26,gvjbhj,4585,5,j,gvjbhj
27,jkgaqe,0,0,j,jkgaqe
27,jkgaqe,125,1,k,jkgaqe
27,jkgaqe,1122,2,g,jkgaqe
27,jkgaqe,1342,3,a,jkgaqe
27,jkgaqe,1559,4,b,jkgaqe
27,jkgaqe,2153,5,BackSpace,jkgaqe
27,jkgaqe,3026,6,q,jkgaqe
27,jkgaqe,3245,7,e,jkgaqe
28,qwcbcr,0,0,q,qwcbcr
28,qwcbcr,1404,1,w,qwcbcr
28,qwcbcr,2027,2,c,qwcbcr
28,qwcbcr,3119,3,b,qwcbcr
28,qwcbcr,3368,4,c,qwcbcr
28,qwcbcr,3588,5,r,qwcbcr
30,hyohcy,0,0,h,hyohcy
30,hyohcy,499,1,y,hyohcy
