stimulus_index,stimulus,input_time_ms,input_index,key_symbol,transcribed_string
0,qslpag,0,0,q,qslpag
0,qslpag,218,1,l,qslpag
0,qslpag,748,2,BackSpace,qslpag
0,qslpag,873,3,s,qslpag
0,qslpag,1154,4,l,qslpag
0,qslpag,1746,5,p,qslpag
0,qslpag,1809,6,a,qslpag
0,qslpag,2059,7,g,qslpag
1,jaolwh,0,0,j,jaolwh
1,jaolwh,125,1,a,jaolwh
1,jaolwh,500,2,o,jaolwh
1,jaolwh,687,3,l,jaolwh
1,jaolwh,842,4,w,jaolwh
1,jaolwh,1154,5,h,jaolwh
2,varawz,0,0,v,varawz
2,varawz,217,1,a,varawz
2,varawz,342,2,r,varawz
2,varawz,499,3,a,varawz
2,varawz,779,4,w,varawz
2,varawz,1154,5,z,varawz
3,ophxwt,0,0,o,ophxwt
3,ophxwt,186,1,p,ophxwt
3,ophxwt,529,2,h,ophxwt
3,ophxwt,1217,3,x,ophxwt
3,ophxwt,1465,4,w,ophxwt
3,ophxwt,1777,5,t,ophxwt
4,kmrynj,0,0,l,kmrynj
4,kmrynj,250,1,comma,kmrynj
4,kmrynj,562,2,BackSpace,kmrynj
4,kmrynj,687,3,BackSpace,kmrynj
4,kmrynj,904,4,k,kmrynj
4,kmrynj,1342,5,comma,kmrynj
4,kmrynj,1841,6,BackSpace,kmrynj
4,kmrynj,2059,7,m,kmrynj
4,kmrynj,2434,8,r,kmrynj
4,kmrynj,3058,9,y,kmrynj
4,kmrynj,3338,10,m,kmrynj
4,kmrynj,4025,11,BackSpace,kmrynj
4,kmrynj,4243,12,n,kmrynj
4,kmrynj,4648,13,j,kmrynj
5,dfzoua,0,0,d,dfzoua
5,dfzoua,187,1,f,dfzoua
5,dfzoua,967,2,z,dfzoua
5,dfzoua,1092,3,z,dfzoua
5,dfzoua,1498,4,BackSpace,dfzoua
5,dfzoua,1746,5,p,dfzoua
5,dfzoua,2059,6,i,dfzoua
5,dfzoua,2371,7,BackSpace,dfzoua
5,dfzoua,2496,8,BackSpace,dfzoua
5,dfzoua,2713,9,o,dfzoua
5,dfzoua,2776,10,u,dfzoua
5,dfzoua,2995,11,a,dfzoua
6,psdrwk,0,0,aring,psdrwk
6,psdrwk,187,1,s,psdrwk
6,psdrwk,655,2,BackSpace,psdrwk
6,psdrwk,748,3,BackSpace,psdrwk
6,psdrwk,1060,4,o,psdrwk
6,psdrwk,1435,5,BackSpace,psdrwk
6,psdrwk,1622,6,p,psdrwk
6,psdrwk,1965,7,s,psdrwk
6,psdrwk,2277,8,d,psdrwk
6,psdrwk,2559,9,w,psdrwk
6,psdrwk,2963,10,BackSpace,psdrwk
6,psdrwk,3338,11,r,psdrwk
6,psdrwk,3556,12,w,psdrwk
6,psdrwk,3931,13,k,psdrwk
7,oxbcqh,0,0,o,oxbcqh
7,oxbcqh,592,1,c,oxbcqh
7,oxbcqh,1122,2,BackSpace,oxbcqh
7,oxbcqh,1342,3,x,oxbcqh
7,oxbcqh,1434,4,x,oxbcqh
7,oxbcqh,1809,5,BackSpace,oxbcqh
7,oxbcqh,2152,6,n,oxbcqh
7,oxbcqh,2651,7,BackSpace,oxbcqh
7,oxbcqh,2869,8,b,oxbcqh
7,oxbcqh,3337,9,c,oxbcqh
7,oxbcqh,3774,10,q,oxbcqh
7,oxbcqh,3961,11,j,oxbcqh
7,oxbcqh,4493,12,BackSpace,oxbcqh
7,oxbcqh,5085,13,h,oxbcqh
8,vwmbqq,0,0,v,vwmbqq
8,vwmbqq,404,1,m,vwmbqq
8,vwmbqq,1372,2,BackSpace,vwmbqq
8,vwmbqq,1465,3,w,vwmbqq
8,vwmbqq,2059,4,comma,vwmbqq
8,vwmbqq,2526,5,BackSpace,vwmbqq
8,vwmbqq,2744,6,m,vwmbqq
8,vwmbqq,3306,7,b,vwmbqq
8,vwmbqq,3587,8,q,vwmbqq
8,vwmbqq,3774,9,q,vwmbqq
9,nwmxxf,0,0,n,nwmxxf
9,nwmxxf,748,1,w,nwmxxf
9,nwmxxf,1716,2,m,nwmxxf
9,nwmxxf,2090,3,x,nwmxxf
9,nwmxxf,2465,4,x,nwmxxf
9,nwmxxf,2683,5,f,nwmxxf
10,cxwxyz,0,0,c,cxwxyz
10,cxwxyz,499,1,x,cxwxyz
10,cxwxyz,967,2,w,cxwxyz
10,cxwxyz,1684,3,x,cxwxyz
10,cxwxyz,2153,4,u,cxwxyz
10,cxwxyz,2651,5,BackSpace,cxwxyz
10,cxwxyz,2933,6,y,cxwxyz
10,cxwxyz,3151,7,z,cxwxyz
11,zjjrwa,0,0,z,zjjrwa
11,zjjrwa,280,1,j,zjjrwa
11,zjjrwa,529,2,j,zjjrwa
