stimulus_index,stimulus,input_time_ms,input_index,key_symbol,transcribed_string
0,dawuva,0,0,d,dawuva
0,dawuva,218,1,a,dawuva
0,dawuva,405,2,w,dawuva
0,dawuva,717,3,u,dawuva
0,dawuva,904,4,v,dawuva
0,dawuva,1060,5,a,dawuva
1,oahpnh,0,0,o,oahpnh
1,oahpnh,218,1,a,oahpnh
1,oahpnh,406,2,h,oahpnh
1,oahpnh,874,3,p,oahpnh
1,oahpnh,1810,4,n,oahpnh
1,oahpnh,1966,5,h,oahpnh
2,yrchgp,0,0,y,yrchgp
2,yrchgp,187,1,r,yrchgp
2,yrchgp,562,2,c,yrchgp
2,yrchgp,1529,3,h,yrchgp
2,yrchgp,2215,4,g,yrchgp
2,yrchgp,2527,5,p,yrchgp
3,vtljjo,0,0,v,vtljjo
3,vtljjo,187,1,y,vtljjo
3,vtljjo,654,2,BackSpace,vtljjo
3,vtljjo,904,3,t,vtljjo
3,vtljjo,1247,4,l,vtljjo
3,vtljjo,1777,5,j,vtljjo
3,vtljjo,1871,6,j,vtljjo
3,vtljjo,2121,7,o,vtljjo
4,jflurm,0,0,j,jflurm
4,jflurm,343,1,f,jflurm
4,jflurm,562,2,l,jflurm
4,jflurm,998,3,u,jflurm
4,jflurm,1217,4,r,jflurm
4,jflurm,1467,5,m,jflurm
5,evvphq,0,0,e,evvphq
5,evvphq,280,1,v,evvphq
5,evvphq,404,2,v,evvphq
5,evvphq,685,3,p,evvphq
5,evvphq,1122,4,h,evvphq
5,evvphq,1434,5,q,evvphq
6,svhslb,0,0,s,svhslb
6,svhslb,250,1,v,svhslb
6,svhslb,467,2,h,svhslb
6,svhslb,1529,3,s,svhslb
6,svhslb,1996,4,l,svhslb
6,svhslb,2309,5,b,svhslb
7,zydfzz,0,0,z,zydfzz
7,zydfzz,218,1,y,zydfzz
7,zydfzz,530,2,d,zydfzz
7,zydfzz,1092,3,f,zydfzz
7,zydfzz,1435,4,z,zydfzz
7,zydfzz,1559,5,z,zydfzz
