user_id,typing_style,condition,stimulus_index,wpm
106194,Non-touchtypist,Mix,0,47.541869259859546
106194,Non-touchtypist,Mix,1,37.04792708027051
106194,Non-touchtypist,Mix,2,50.054884742041715
106194,Non-touchtypist,Mix,3,40.992665527981515
106194,Non-touchtypist,Mix,4,47.402005469462175
106194,Non-touchtypist,Mix,5,38.261453263970466
106194,Non-touchtypist,Mix,6,42.47143290524826
106194,Non-touchtypist,Mix,7,50.83309799491669
106194,Non-touchtypist,Mix,8,53.22580645161291
106194,Non-touchtypist,Mix,9,54.6178645932107
106194,Non-touchtypist,Mix,10,32.19429539678057
106194,Non-touchtypist,Mix,11,48.08362369337979
106194,Non-touchtypist,Mix,12,41.93254329990884
106194,Non-touchtypist,Mix,13,37.76223776223777
106194,Non-touchtypist,Mix,14,65.50951847704367
106194,Non-touchtypist,Mix,15,52.07166853303472
106194,Non-touchtypist,Mix,16,40.2930402930403
106194,Non-touchtypist,Mix,17,48.605485476218036
106194,Non-touchtypist,Mix,18,56.854074542008846
106194,Non-touchtypist,Mix,19,61.22448979591836
106194,Non-touchtypist,Mix,20,49.638055842812825
106194,Non-touchtypist,Mix,21,50.17810128542667
106194,Non-touchtypist,Mix,22,47.860101242521864
106194,Non-touchtypist,Mix,23,38.46879125023572
106194,Non-touchtypist,Mix,24,37.773644298182866
106194,Non-touchtypist,Mix,25,43.54399758088903
106194,Non-touchtypist,Mix,26,46.25684723067559
106194,Non-touchtypist,Mix,27,45.25455688246386
106194,Non-touchtypist,Mix,28,40.803108808290155
106194,Non-touchtypist,Mix,29,50.5496763587794
106194,Non-touchtypist,Mix,30,49.86642920747995
106194,Non-touchtypist,Mix,31,35.74468085106383
106194,Non-touchtypist,Mix,32,42.07011686143572
106194,Non-touchtypist,Mix,33,48.08362369337979
106194,Non-touchtypist,Mix,34,46.49524480450864
106194,Non-touchtypist,Mix,35,36.241610738255034
106194,Non-touchtypist,Mix,36,64.38299628559636
106194,Non-touchtypist,Mix,37,56.44599303135889
106194,Non-touchtypist,Mix,38,31.122638014079286
106194,Non-touchtypist,Mix,39,38.03709791030758
106194,Non-touchtypist,Mix,40,45.15050167224081
106194,Non-touchtypist,Mix,41,56.90923957481602
106194,Non-touchtypist,Mix,42,44.207036286608954
106194,Non-touchtypist,Mix,43,30.95852351657075
106194,Non-touchtypist,Mix,44,48.95818155325659
106194,Non-touchtypist,Mix,45,44.57284358233595
106194,Non-touchtypist,Mix,46,29.197080291970803
106194,Non-touchtypist,Mix,47,36.63656023406691
106194,Non-touchtypist,Mix,48,45.53215708594195
106194,Non-touchtypist,Mix,49,47.094734547040225
106194,Non-touchtypist,Random,0,40.92769440654843
106194,Non-touchtypist,Random,1,24.66091245376079
106194,Non-touchtypist,Random,2,38.48620910840282
106194,Non-touchtypist,Random,3,34.96503496503497
106194,Non-touchtypist,Random,4,34.36426116838488
106194,Non-touchtypist,Random,5,43.731778425655975
106194,Non-touchtypist,Random,6,24.989587671803417
106194,Non-touchtypist,Random,7,27.881040892193305
106194,Non-touchtypist,Random,8,44.417026526835286
106194,Non-touchtypist,Random,9,51.282051282051285
106194,Non-touchtypist,Random,10,33.76477208778841
106194,Non-touchtypist,Random,11,30.51881993896236
106194,Non-touchtypist,Random,12,28.721876495931067
106194,Non-touchtypist,Random,13,36.641221374045806
106194,Non-touchtypist,Random,14,28.69440459110473
106194,Non-touchtypist,Random,15,22.099447513812155
106194,Non-touchtypist,Random,16,45.80152671755725
106194,Non-touchtypist,Random,17,24.03846153846154
106194,Non-touchtypist,Random,18,43.7636761487965
106194,Non-touchtypist,Random,19,21.613832853025936
106194,Non-touchtypist,Random,20,37.712130735386545
106194,Non-touchtypist,Random,21,19.821605550049554
106194,Non-touchtypist,Random,22,30.060120240480963
106194,Non-touchtypist,Random,23,21.36752136752137
106194,Non-touchtypist,Random,24,32.59098316132537
106194,Non-touchtypist,Random,25,32.59098316132537
106194,Non-touchtypist,Random,26,37.014188772362736
106194,Non-touchtypist,Random,27,27.100271002710027
106194,Non-touchtypist,Random,28,27.47252747252747
106194,Non-touchtypist,Random,29,21.36752136752137
106194,Non-touchtypist,Random,30,27.100271002710027
106194,Non-touchtypist,Random,31,34.96503496503497
106194,Non-touchtypist,Random,32,27.47252747252747
106194,Non-touchtypist,Random,33,26.362038664323375
106194,Non-touchtypist,Random,34,22.63296869105998
106194,Non-touchtypist,Random,35,31.02378490175802
106194,Non-touchtypist,Random,36,27.86809103576405
106194,Non-touchtypist,Random,37,33.74578177727784
106194,Non-touchtypist,Random,38,20.026702269692922
106194,Non-touchtypist,Random,39,24.03846153846154
106194,Non-touchtypist,Random,40,31.529164477141357
106194,Non-touchtypist,Random,41,27.47252747252747
106194,Non-touchtypist,Random,42,33.74578177727784
106194,Non-touchtypist,Random,43,23.455824863174357
106194,Non-touchtypist,Random,44,35.62945368171022
106194,Non-touchtypist,Random,45,18.674136321195146
106194,Non-touchtypist,Random,46,17.353579175704986
106194,Non-touchtypist,Random,47,33.74578177727784
106194,Non-touchtypist,Random,48,22.099447513812155
106194,Non-touchtypist,Random,49,22.90950744558992
106194,Non-touchtypist,Sentences,0,34.8308934881373
106194,Non-touchtypist,Sentences,1,48.59939250759365
106194,Non-touchtypist,Sentences,2,48.87550911988666
106194,Non-touchtypist,Sentences,3,75.51622418879056
106194,Non-touchtypist,Sentences,4,54.03973509933775
106194,Non-touchtypist,Sentences,5,43.7956204379562
106194,Non-touchtypist,Sentences,6,59.013057486857726
106194,Non-touchtypist,Sentences,7,70.7442888725129
106194,Non-touchtypist,Sentences,8,75.66999474513926
106194,Non-touchtypist,Sentences,9,41.64115125535824
106194,Non-touchtypist,Sentences,10,66.75392670157068
106194,Non-touchtypist,Sentences,11,48.79799067097237
106194,Non-touchtypist,Sentences,12,46.62004662004662
106194,Non-touchtypist,Sentences,13,68.75559534467324
106194,Non-touchtypist,Sentences,14,37.14348883484413
106194,Non-touchtypist,Sentences,15,49.18032786885246
106194,Non-touchtypist,Sentences,16,56.9935882213251
106194,Non-touchtypist,Sentences,17,52.04601169149538
106194,Non-touchtypist,Sentences,18,32.26473629782834
106194,Non-touchtypist,Sentences,19,57.00712589073634
106194,Non-touchtypist,Sentences,20,53.924505692031154
106194,Non-touchtypist,Sentences,21,69.5274307441608
106194,Non-touchtypist,Sentences,22,43.0622009569378
106194,Non-touchtypist,Sentences,23,38.179148311306896
106194,Non-touchtypist,Sentences,24,50.785973397823454
106194,Non-touchtypist,Sentences,25,45.07888805409467
106194,Non-touchtypist,Sentences,26,35.869565217391305
106194,Non-touchtypist,Sentences,27,46.6321243523316
106194,Non-touchtypist,Sentences,28,54.56907752273712
106194,Non-touchtypist,Sentences,29,47.386759581881535
